Member_number,Groceries
1000,"canned beer,hygiene articles,misc. beverages,pastry,pickled vegetables,salty snack,sausage,semi-finished bread,soda,whole milk,yogurt"
1001,"beef,curd,frankfurter,rolls/buns,sausage,soda,whipped/sour cream,white bread,whole milk"
1002,"butter,butter milk,frozen vegetables,other vegetables,specialty chocolate,sugar,tropical fruit,whole milk"
1003,"dental care,detergent,frozen meals,rolls/buns,root vegetables,sausage"
1004,"canned beer,chocolate,cling film/bags,dish cleaner,frozen fish,hygiene articles,other vegetables,packaged fruit/vegetables,pastry,pip fruit,red/blush wine,rolls/buns,root vegetables,shopping bags,tropical fruit,whole milk"
1005,"margarine,rolls/buns,whipped/sour cream"
1006,"bottled beer,bottled water,chicken,chocolate,flour,frankfurter,rice,rolls/buns,shopping bags,skin care,softener,whole milk"
1008,"dessert,domestic eggs,hamburger meat,liquor (appetizer),liver loaf,photo/film,root vegetables,soda,tropical fruit,white wine,yogurt"
1009,"canned fish,cocoa drinks,herbs,ketchup,newspapers,pastry,tropical fruit,yogurt"
1010,"UHT-milk,bottled water,candles,coffee,frankfurter,kitchen towels,pip fruit,rolls/buns,sliced cheese,specialty bar"
1011,"bottled water,candles,candy,citrus fruit,curd cheese,frankfurter,grapes,herbs,other vegetables,pastry,rolls/buns,whole milk,yogurt"
1012,"brown bread,frankfurter,frozen vegetables,onions,processed cheese,rolls/buns,root vegetables,shopping bags,tropical fruit,whole milk,yogurt"
1013,"bottled water,candy,domestic eggs,frozen meals,frozen vegetables,hard cheese,mayonnaise,meat,mustard,napkins,other vegetables,roll products ,root vegetables,tropical fruit,whipped/sour cream,white bread,whole milk"
1014,"bottled beer,butter milk,canned beer,cookware,hamburger meat,rolls/buns,sausage,whole milk,yogurt"
1015,"beef,chocolate,citrus fruit,fruit/vegetable juice,rolls/buns,salty snack,whole milk"
1016,"UHT-milk,bottled beer,chicken,frankfurter,mayonnaise,oil,pip fruit,red/blush wine,rolls/buns,soft cheese"
1017,"beef,brown bread,dessert,other vegetables,pet care,rolls/buns,root vegetables,shopping bags,soda,yogurt"
1018,"berries,beverages,butter milk,cake bar,curd,domestic eggs,long life bakery product,root vegetables"
1019,"hamburger meat,red/blush wine"
1020,"butter,canned beer,frozen fish,frozen meals,newspapers,rolls/buns,shopping bags,spices,yogurt"
1021,"baking powder,butter,curd,liquor,rolls/buns,sliced cheese,tropical fruit,yogurt"
1022,"beef,fruit/vegetable juice,napkins,sausage,whipped/sour cream,whole milk"
1023,"berries,bottled beer,chicken,curd,domestic eggs,frozen meals,male cosmetics,packaged fruit/vegetables,rolls/buns,root vegetables,sausage,soda,specialty bar,whipped/sour cream,white bread,yogurt"
1024,"fish,other vegetables,root vegetables,tropical fruit"
1025,"UHT-milk,canned beer,coffee,cream cheese ,ham,shopping bags"
1026,"butter,candy,canned beer,citrus fruit,dental care,dessert,fruit/vegetable juice,long life bakery product,pickled vegetables,rolls/buns,root vegetables,salty snack,sausage,whipped/sour cream,yogurt"
1027,"bottled water,hamburger meat,pork,red/blush wine,rolls/buns,salt,softener,whole milk"
1028,"baking powder,bottled water,butter,canned beer,flower (seeds),onions,rolls/buns,root vegetables,soda,specialty chocolate,sugar"
1029,"dessert,ham"
1031,"berries,beverages,cream cheese ,ice cream,other vegetables,pot plants"
1032,"berries,butter,cream cheese ,ice cream,newspapers,other vegetables,pastry,root vegetables,shopping bags,soda,whipped/sour cream,white bread,whole milk,yogurt"
1033,"chicken,dessert,frankfurter,fruit/vegetable juice,pastry,rolls/buns,sausage,snack products,soda,tropical fruit,waffles"
1034,"bottled water,cat food,cling film/bags,domestic eggs,frozen meals,newspapers,pip fruit,tropical fruit,yogurt"
1035,"frozen vegetables,newspapers,pip fruit,rolls/buns,salt,sausage,white bread,white wine,whole milk,yogurt"
1036,"fruit/vegetable juice,vinegar"
1037,"cake bar,canned beer,chewing gum,citrus fruit,frankfurter,rolls/buns,shopping bags,tropical fruit,white bread,yogurt"
1038,"Instant food products,butter,cake bar,frozen meals,fruit/vegetable juice,herbs,margarine,napkins,other vegetables,pip fruit,pork,sausage,specialty chocolate,whipped/sour cream,whole milk"
1039,"rolls/buns,salty snack"
1040,"chicken,onions,packaged fruit/vegetables,pasta,rolls/buns,root vegetables,tropical fruit,white bread,whole milk,yogurt"
1041,"brown bread,candy,chicken,dessert,frozen vegetables,hamburger meat,prosecco,tropical fruit,whole milk,yogurt"
